index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
18-01131473,04/05/2018,Completed,04/05/2018,Brick - Unpainted,Traffic Control Box,3220 S WOLCOTT AVE,60608,25,9,59,41.8352269069642,-87.6730940109816,"(41.835226906964, -87.673094010982)"
17-05923693,09/06/2017,Completed,09/07/2017,Metal - Painted,Newspaper Box,4607 N WESTERN AVE,60625,47,19,4,41.9651099567714,-87.68865318702291,"(41.965109956771, -87.688653187023)"
18-02924198,10/15/2018,Completed,10/15/2018,Brick - Unpainted,Front,2749 W 38TH PL,60632,12,9,58,41.8235992490247,-87.69412613780909,"(41.823599249025, -87.694126137809)"
18-01134213,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,3600 N LINCOLN AVE,60613,47,19,5,41.9470628143949,-87.673991636259,"(41.947062814395, -87.673991636259)"
17-05913778,09/06/2017,Completed,09/07/2017,Other/Unknown Surface,Sign,6012 S ARCHER AVE,60638,14,8,56,41.7951100428796,-87.76704724072522,"(41.79511004288, -87.767047240725)"
17-05902345,09/05/2017,Completed,09/07/2017,Brick - Painted,Front,2540 W 21ST ST,60608,24,10,31,41.8539455485723,-87.6896110036688,"(41.853945548572, -87.689611003669)"
18-01130912,04/05/2018,Completed,04/05/2018,Metal - Painted,Pole,5326 S LAKE PARK AVE,60615,5,2,41,41.798709415679795,-87.5873975777388,"(41.79870941568, -87.587397577739)"
17-05942686,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Pole,3453 W LAWRENCE AVE,60625,33,17,14,41.96826913398579,-87.71551002918491,"(41.968269133986, -87.715510029185)"
17-05931810,09/06/2017,Completed,09/07/2017,Brick - Unpainted,Side,949 W 31ST PL,60608,11,9,60,41.8370835739902,-87.65062185147949,"(41.83708357399, -87.650621851479)"
17-05940426,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Pole,3000 W ADDISON ST,60618,33,17,16,41.9467634614346,-87.7029865904773,"(41.946763461435, -87.702986590477)"
17-05927917,09/06/2017,Completed,09/07/2017,Metal - Painted,Dumpster,1837 S LOOMIS ST,60608,25,12,31,41.8567981395884,-87.6611434362102,"(41.856798139588, -87.66114343621)"
