index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
17-05251065,08/07/2017,Completed,08/07/2017,Metal - Painted,Door,7125 S MAPLEWOOD AVE,60629,18,8,66,41.7638698315428,-87.68674560999159,"(41.763869831543, -87.686745609992)"
17-05196842,08/05/2017,Completed,08/07/2017,Wood - Painted,Front,4409 N ARTESIAN AVE,60625,47,19,4,41.9616248477154,-87.68976961706609,"(41.961624847715, -87.689769617066)"
17-05248568,08/07/2017,Completed,08/07/2017,Metal - Painted,Dumpster,1557 W 13TH ST,60608,28,12,28,41.864971765967205,-87.6662357747554,"(41.864971765967, -87.666235774755)"
17-05246644,08/07/2017,Completed,08/07/2017,Metal - Painted,Dumpster,3510 N KEDZIE AVE,60618,35,17,21,41.94515063717329,-87.7079314201866,"(41.945150637173, -87.707931420187)"
17-05194517,08/05/2017,Completed,08/07/2017,Aluminum Siding,Alley,2520 N KILBOURN AVE,60639,31,25,20,41.9270553313407,-87.7392368927847,"(41.927055331341, -87.739236892785)"
17-05197380,08/05/2017,Completed,08/07/2017,Metal - Painted,Door,2306 W MOFFAT ST,60647,32,14,22,41.915129179854,-87.6852620020244,"(41.915129179854, -87.685262002024)"
17-05203102,08/05/2017,Completed,08/07/2017,Other/Unknown Surface,Alley,6841 W 57TH ST,60638,13,8,56,41.7883836454861,-87.79305432924629,"(41.788383645486, -87.793054329246)"
17-05249942,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Side,5103 S CICERO AVE,60632,14,8,56,41.800183089815796,-87.7428094120915,"(41.800183089816, -87.742809412091)"
17-05245737,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,3637 S DAMEN AVE,60609,12,9,59,41.8274582320498,-87.6750569817486,"(41.82745823205, -87.675056981749)"
17-05246542,08/07/2017,Completed,08/07/2017,Glass,Front,3043 W CORTLAND ST,60647,1,14,22,41.915491263292395,-87.7040470253293,"(41.915491263292, -87.704047025329)"
17-05246712,08/07/2017,Completed,08/07/2017,Metal - Painted,Side,3432 W DIVERSEY AVE,60647,35,14,21,41.9320665624443,-87.713505544244,"(41.932066562444, -87.713505544244)"
17-05179285,08/04/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Bench,1760 N TALMAN AVE,60647,1,14,24,41.9137572643564,-87.6935677290556,"(41.913757264356, -87.693567729056)"
17-05250612,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2504 W CERMAK RD,60608,28,10,30,41.8521181971529,-87.68816860287309,"(41.852118197153, -87.688168602873)"
17-05213726,08/06/2017,Completed,08/07/2017,Metal - Painted,Front,2774 N MILWAUKEE AVE,60647,35,14,22,41.931527478210505,-87.7116712244413,"(41.931527478211, -87.711671224441)"
17-05245518,08/07/2017,Completed,08/07/2017,Brick - Painted,Garage,3604 W 62ND PL,60629,23,8,65,41.779828495577796,-87.7134562345124,"(41.779828495578, -87.713456234512)"
17-05210417,08/06/2017,Completed,08/07/2017,Metal - Painted,Mail Box,5454 S KILDARE AVE,60632,23,8,62,41.7933403328148,-87.730665926182,"(41.793340332815, -87.730665926182)"
17-05143745,08/03/2017,Completed,08/07/2017,Brick - Painted,Side,3474 S ARCHER AVE,60608,12,9,59,41.830794698171,-87.67723257138651,"(41.830794698171, -87.677232571387)"
17-05215064,08/06/2017,Completed,08/07/2017,Glass,Door,3109 W ARMITAGE AVE,60647,1,14,22,41.9172992839814,-87.70570366678609,"(41.917299283981, -87.705703666786)"
17-05248859,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,825 E 63RD ST,60637,20,3,42,41.780316415848105,-87.6047981259848,"(41.780316415848, -87.604798125985)"
17-05243933,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,832 W MADISON ST,60607,27,12,28,41.8818703664937,-87.6485931390367,"(41.881870366494, -87.648593139037)"
17-05246282,08/07/2017,Completed,08/07/2017,Brick - Painted,Side,3725 W 49TH ST,60632,14,8,57,41.804184350141604,-87.71719818725201,"(41.804184350142, -87.717198187252)"
17-05215385,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,2628 N MILWAUKEE AVE,60647,35,14,22,41.929460754541395,-87.70827491636379,"(41.929460754541, -87.708274916364)"
17-05246324,08/07/2017,Completed,08/07/2017,Brick - Painted,Side,3729 W 49TH ST,60632,14,8,57,41.8041817976789,-87.71740698626431,"(41.804181797679, -87.717406986264)"
17-05177463,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Alley,5915 S FRANCISCO AVE,60629,16,8,66,41.7858821690324,-87.69587204951219,"(41.785882169032, -87.695872049512)"
17-05174534,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Front,1935 W BELMONT AVE,60657,32,19,5,41.9394737235658,-87.67732856272221,"(41.939473723566, -87.677328562722)"
17-05250584,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,4750 S WESTERN AVE,60609,15,9,58,41.8069101468153,-87.68452688789829,"(41.806910146815, -87.684526887898)"
17-05246631,08/07/2017,Completed,08/07/2017,Metal - Painted,Front,3244 N MILWAUKEE AVE,60618,30,17,21,41.93998758150449,-87.7255469363881,"(41.939987581505, -87.725546936388)"
17-05245618,08/07/2017,Completed,08/07/2017,Brick - Painted,Garage,3640 S SEELEY AVE,60609,12,9,59,41.8273280565963,-87.67656606977671,"(41.827328056596, -87.676566069777)"
17-05170852,08/04/2017,Completed,08/07/2017,Brick - Painted,Front,2940 W 59TH ST,60629,16,8,63,41.7864509910477,-87.69765498005621,"(41.786450991048, -87.697654980056)"
17-05216690,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1605 W BLACKHAWK ST,60622,1,14,24,41.90691457495429,-87.6678032342366,"(41.906914574954, -87.667803234237)"
17-05224992,08/06/2017,Completed,08/07/2017,Aluminum Siding,Garage,2414 N LINDER AVE,60639,30,25,19,41.9244961775547,-87.7636924152857,"(41.924496177555, -87.763692415286)"
17-05164026,08/04/2017,Completed,08/07/2017,Metal - Painted,Dumpster,4207 W 63RD ST,60629,23,8,65,41.7784850286706,-87.7279774719489,"(41.778485028671, -87.727977471949)"
17-05226192,08/06/2017,Completed,08/07/2017,Brick - Painted,Rear,1146 W 18TH ST,60608,25,12,31,41.8580830846878,-87.65524598985078,"(41.858083084688, -87.655245989851)"
17-05245548,08/07/2017,Completed,08/07/2017,Metal - Painted,Front,2523 S SPAULDING AVE,60623,12,10,30,41.8455883235619,-87.7073604000948,"(41.845588323562, -87.707360400095)"
17-05246856,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Rear,4224 W BELMONT AVE,60641,30,17,16,41.9391240715986,-87.7331242362446,"(41.939124071599, -87.733124236245)"
17-05181119,08/04/2017,Completed,08/07/2017,Metal - Painted,Alley,4541 N LEAVITT ST,60625,47,19,4,41.9644193689349,-87.68377118613571,"(41.964419368935, -87.683771186136)"
17-05220853,08/06/2017,Completed,08/07/2017,Wood - Unpainted,Bench,1801 N RIDGEWAY AVE,60647,26,25,22,41.9138983629029,-87.7202062798169,"(41.913898362903, -87.720206279817)"
17-05173394,08/04/2017,Completed,08/07/2017,Wood - Painted,Garage,2518 N KILBOURN AVE,60639,31,25,20,41.9269868725251,-87.7392345625261,"(41.926986872525, -87.739234562526)"
17-05182449,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Side,2906 W BERTEAU AVE,60618,33,17,16,41.957694091242104,-87.70113397577221,"(41.957694091242, -87.701133975772)"
17-05213474,08/06/2017,Completed,08/07/2017,Glass,Front,2765 N MILWAUKEE AVE,60647,35,14,22,41.931503113421996,-87.7111700147562,"(41.931503113422, -87.711170014756)"
17-05216025,08/06/2017,Completed,08/07/2017,Metal - Painted,Pole,2682 N HALSTED ST,60614,43,19,7,41.93131961100409,-87.6491107925143,"(41.931319611004, -87.649110792514)"
17-05193991,08/05/2017,Completed,08/07/2017,Other/Unknown Surface,Fence,432 E ILLINOIS ST,60611,42,18,8,41.8911845624869,-87.6163889656131,"(41.891184562487, -87.616388965613)"
17-05245551,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,5759 S FAIRFIELD AVE,60629,16,8,63,41.788341441268095,-87.69228410857491,"(41.788341441268, -87.692284108575)"
17-05178177,08/04/2017,Completed,08/07/2017,Metal - Painted,Pole,323 E WACKER DR,60601,42,1,32,41.8875560409486,-87.61965509328479,"(41.887556040949, -87.619655093285)"
17-05209110,08/05/2017,Completed,08/07/2017,Metal - Painted,Alley,3019 S KEELER AVE,60623,22,10,30,41.8380644492034,-87.72909864761542,"(41.838064449203, -87.729098647615)"
17-05245590,08/07/2017,Completed,08/07/2017,Wood - Painted,Bench,2600 W THOMAS ST,60622,1,12,24,41.9012593595257,-87.6920332634111,"(41.901259359526, -87.692033263411)"
17-05192297,08/05/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Fence,446 W 25TH PL,60616,11,9,60,41.8461774730224,-87.63871767589309,"(41.846177473022, -87.638717675893)"
17-05218277,08/06/2017,Completed,08/07/2017,Aluminum Siding,Rear,1143 W 17TH ST,60608,25,12,31,41.8587692338009,-87.655072910555,"(41.858769233801, -87.655072910555)"
17-05173255,08/04/2017,Completed,08/07/2017,Brick - Painted,Side,2415 N ASHLAND AVE,60614,32,19,7,41.9256380997471,-87.668015624443,"(41.925638099747, -87.668015624443)"
17-05215359,08/06/2017,Completed,08/07/2017,Metal - Unpainted,Sign,2511 N SEMINARY AVE,60614,43,19,7,41.9275135618901,-87.65595908640259,"(41.92751356189, -87.655959086403)"
17-05182448,08/04/2017,Completed,08/07/2017,Metal - Unpainted,Bench,909 S MICHIGAN AVE,60605,4,1,32,41.8703164715752,-87.6239856915172,"(41.870316471575, -87.623985691517)"
17-05204359,08/05/2017,Completed,08/07/2017,Brick - Unpainted,Side,4202 W 47TH ST,60632,14,8,57,41.8079162459684,-87.7286246516587,"(41.807916245968, -87.728624651659)"
17-05246797,08/07/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,1 N ASHLAND AVE,60607,27,12,28,41.881504555642294,-87.6666575605353,"(41.881504555642, -87.666657560535)"
17-05198430,08/05/2017,Completed,08/07/2017,Brick - Unpainted,Alley,2809 N KILBOURN AVE,60641,31,25,20,41.9319500995884,-87.7391134326254,"(41.931950099588, -87.739113432625)"
17-05250567,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1901 S WESTERN AVE,60608,25,12,31,41.855665323560295,-87.68558982950279,"(41.85566532356, -87.685589829503)"
17-05246689,08/07/2017,Completed,08/07/2017,Wood - Unpainted,Pole,221 N LEAVITT ST,60612,27,12,28,41.885532859560094,-87.6814987603074,"(41.88553285956, -87.681498760307)"
17-05222007,08/06/2017,Completed,08/07/2017,Brick - Unpainted,Front,610 W 24TH PL,60616,11,9,60,41.848223052163206,-87.64211919409571,"(41.848223052163, -87.642119194096)"
17-05246810,08/07/2017,Completed,08/07/2017,Metal - Painted,Sign,5800 W WRIGHTWOOD AVE,60639,30,25,19,41.9276656444384,-87.7710440462526,"(41.927665644438, -87.771044046253)"
17-05245849,08/07/2017,Completed,08/07/2017,Brick - Painted,Pole,4710 W 79TH ST,60652,18,8,70,41.7492941390826,-87.73935791298621,"(41.749294139083, -87.739357912986)"
17-05229377,08/06/2017,Completed,08/07/2017,Metal - Painted,Dumpster,2851 N WOODARD ST,60618,35,14,21,41.9334329451374,-87.71135107392179,"(41.933432945137, -87.711351073922)"
17-05178962,08/04/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Bench,2459 W BLOOMINGDALE AVE,60647,1,14,24,41.913862661245105,-87.6896949072687,"(41.913862661245, -87.689694907269)"
17-05248548,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1300 S ASHLAND AVE,60608,28,12,28,41.865033321293296,-87.6664874933559,"(41.865033321293, -87.666487493356)"
17-05213666,08/06/2017,Completed,08/07/2017,Glass,Door,2644 N MILWAUKEE AVE,60647,35,14,22,41.929781140890896,-87.7088051529468,"(41.929781140891, -87.708805152947)"
17-05235115,08/06/2017,Completed,08/07/2017,Metal - Painted,Pole,2301 W ADAMS ST,60612,27,12,28,41.878512292543796,-87.684021073711,"(41.878512292544, -87.684021073711)"
17-05174228,08/04/2017,Completed,08/07/2017,Wood - Painted,Front,1611 W 18TH ST,60608,25,12,31,41.857673181879704,-87.66669927030199,"(41.85767318188, -87.666699270302)"
17-05246372,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,4101 W 51ST ST,60632,23,8,57,41.8004075977728,-87.72588554763772,"(41.800407597773, -87.725885547638)"
17-05210368,08/06/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,5320 S PULASKI RD,60632,23,8,62,41.79619759141551,-87.72339188344549,"(41.796197591416, -87.723391883445)"
17-05193992,08/05/2017,Completed,08/07/2017,Metal - Painted,Mail Box,503 N MCCLURG CT,60611,42,18,8,41.8911649862557,-87.61752560027901,"(41.891164986256, -87.617525600279)"
17-05250966,08/07/2017,Completed,08/07/2017,Metal - Painted,Rear,3510 W 79TH ST,60652,18,8,70,41.7498601055969,-87.7101866507587,"(41.749860105597, -87.710186650759)"
17-05249074,08/07/2017,Completed,08/07/2017,Metal - Unpainted,Traffic Control Box,822 E 53RD ST,60615,5,2,41,41.798739926039,-87.60535794755128,"(41.798739926039, -87.605357947551)"
17-05246531,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,2423 N MILWAUKEE AVE,60647,1,14,22,41.9253125676323,-87.7010463539838,"(41.925312567632, -87.701046353984)"
17-05164006,08/04/2017,Completed,08/07/2017,Brick - Painted,Alley,4437 W 63RD ST,60629,13,8,65,41.7784169379221,-87.7339727907115,"(41.778416937922, -87.733972790711)"
17-05250655,08/07/2017,Completed,08/07/2017,Glass,Front,2748 W CERMAK RD,60608,12,10,30,41.8520183522498,-87.6949589532694,"(41.85201835225, -87.694958953269)"
17-05170851,08/04/2017,Completed,08/07/2017,Tree,Front,5619 S SACRAMENTO AVE,60629,16,8,63,41.7911875797128,-87.69846450143321,"(41.791187579713, -87.698464501433)"
17-05246782,08/07/2017,Completed,08/07/2017,Metal - Painted,Door,2837 N NARRAGANSETT AVE,60634,36,25,19,41.932118199099996,-87.7855802902428,"(41.9321181991, -87.785580290243)"
17-05210347,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,5206 S KEELER AVE,60632,23,8,57,41.7983271112713,-87.72835516583159,"(41.798327111271, -87.728355165832)"
17-05246514,08/07/2017,Completed,08/07/2017,Metal - Unpainted,Front,1456 N MILWAUKEE AVE,60622,1,14,24,41.9082700416591,-87.67439867973681,"(41.908270041659, -87.674398679737)"
17-05250630,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,3925 W 31ST ST,60623,22,10,30,41.8367942222308,-87.7230654062723,"(41.836794222231, -87.723065406272)"
17-05170491,08/04/2017,Completed,08/07/2017,Metal - Painted,Rear,1359 W DEVON AVE,60660,48,24,77,41.998028259779,-87.665343978848,"(41.998028259779, -87.665343978848)"
17-05250590,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Pole,2502 W CERMAK RD,60608,28,10,30,41.852118329229796,-87.68808854643999,"(41.85211832923, -87.68808854644)"
17-05246571,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,4800 N MILWAUKEE AVE,60630,45,16,11,41.9678443985214,-87.76089754112509,"(41.967844398521, -87.760897541125)"
17-05179757,08/04/2017,Completed,08/07/2017,Other / Unknown Surface,Garbage Cart,299 E WACKER DR,60601,42,1,32,41.8877208474661,-87.6207509108703,"(41.887720847466, -87.62075091087)"
17-05242750,08/07/2017,Completed,08/07/2017,Brick - Painted,Side,121 N LA SALLE ST,60602,42,1,32,41.8837645981034,-87.63227535353649,"(41.883764598103, -87.632275353537)"
17-05158008,08/03/2017,Completed,08/07/2017,Brick - Painted,Viaduct,3435 S HOYNE AVE,60608,12,9,59,41.8311171622827,-87.6775956004262,"(41.831117162283, -87.677595600426)"
17-05245593,08/07/2017,Completed,08/07/2017,Metal - Painted,Mail Box,2200 W 37TH ST,60609,12,9,59,41.8267973174954,-87.68024648164659,"(41.826797317495, -87.680246481647)"
17-05245629,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,3700 S PAULINA ST,60609,12,9,59,41.826775573205204,-87.6680094150631,"(41.826775573205, -87.668009415063)"
17-05251155,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,4750 S WESTERN AVE,60609,15,9,58,41.8069101468153,-87.68452688789829,"(41.806910146815, -87.684526887898)"
17-05245677,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,3701 S HERMITAGE AVE,60609,12,9,59,41.8267177893788,-87.6689363634852,"(41.826717789379, -87.668936363485)"
17-05213776,08/06/2017,Completed,08/07/2017,Metal - Painted,Pole,315 E ILLINOIS ST,60611,42,18,8,41.8909072501231,-87.6195008496113,"(41.890907250123, -87.619500849611)"
17-05246858,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,1520 W KINZIE ST,60642,27,12,24,41.8889598038988,-87.66634403252779,"(41.888959803899, -87.666344032528)"
17-05250452,08/07/2017,Completed,08/07/2017,Metal - Painted,Pole,2659 W 22ND PL,60608,24,10,30,41.850912788569204,-87.6928423934502,"(41.850912788569, -87.69284239345)"
17-05250280,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Sign,4956 S CAMPBELL AVE,60632,14,9,63,41.803059211966,-87.6868815169236,"(41.803059211966, -87.686881516924)"
17-05210423,08/06/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,5143 S CICERO AVE,60632,14,8,56,41.7989347339942,-87.7427929588394,"(41.798934733994, -87.742792958839)"
17-05245680,08/07/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,549 N FRANKLIN ST,60654,42,18,8,41.892258033137395,-87.63544646338948,"(41.892258033137, -87.63544646339)"
17-05250610,08/07/2017,Completed,08/07/2017,Brick - Painted,Side,5109 S PULASKI RD,60632,23,8,62,41.800091534442295,-87.7232136115328,"(41.800091534442, -87.723213611533)"
17-05192730,08/05/2017,Completed,08/07/2017,Metal - Painted,Fence,241 E OHIO ST,60611,42,18,8,41.8924763909659,-87.6210535993323,"(41.892476390966, -87.621053599332)"
17-05245809,08/07/2017,Completed,08/07/2017,Metal - Painted,Garage,3604 S HOYNE AVE,60609,12,9,59,41.8283300423429,-87.67781289763211,"(41.828330042343, -87.677812897632)"
17-05156746,08/03/2017,Completed,08/07/2017,Brick - Painted,Side,2100 S KEDZIE AVE,60623,24,10,30,41.8535596885566,-87.7054525939011,"(41.853559688557, -87.705452593901)"
17-05174407,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Side,1702 N WOLCOTT AVE,60622,32,14,24,41.9124859201125,-87.6752223845467,"(41.912485920113, -87.675222384547)"
17-05210425,08/06/2017,Completed,08/07/2017,Metal - Painted,Front,5604 S ARCHER AVE,60638,14,8,56,41.797670206019795,-87.75039612563971,"(41.79767020602, -87.75039612564)"
17-05179434,08/04/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,2755 W BLOOMINGDALE AVE,60647,1,14,24,41.9137984709656,-87.696873881999,"(41.913798470966, -87.696873881999)"
17-05215757,08/06/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,1042 W ALTGELD ST,60614,43,19,7,41.927273792722204,-87.655374543768,"(41.927273792722, -87.655374543768)"
17-05198671,08/05/2017,Completed,08/07/2017,Brick - Unpainted,Side,2236 W 33RD ST,60608,25,9,59,41.834062478788795,-87.6817051819826,"(41.834062478789, -87.681705181983)"
17-05246485,08/07/2017,Completed,08/07/2017,Wood - Painted,Bench,1530 W DIVISION ST,60642,2,14,24,41.9034711057724,-87.66617133934342,"(41.903471105772, -87.666171339343)"
17-05245423,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,404 N DAMEN AVE,60622,27,12,24,41.88888929973211,-87.676997311848,"(41.888889299732, -87.676997311848)"
17-05172393,08/04/2017,Completed,08/07/2017,Vinyl Siding,Alley,4409 S SACRAMENTO AVE,60632,15,9,58,41.813339827627296,-87.6991195959181,"(41.813339827627, -87.699119595918)"
17-05245616,08/07/2017,Completed,08/07/2017,Wood - Painted,Front,2614 W CORTEZ ST,60622,1,12,24,41.9003440837808,-87.69254553072331,"(41.900344083781, -87.692545530723)"
17-05245625,08/07/2017,Completed,08/07/2017,Metal - Painted,Dumpster,2602 W CORTEZ ST,60622,1,12,24,41.9003484538489,-87.69208754469021,"(41.900348453849, -87.69208754469)"
17-05196770,08/05/2017,Completed,08/07/2017,Metal - Unpainted,Front,2420 W MONTROSE AVE,60618,47,19,4,41.9614163282509,-87.68953201339659,"(41.961416328251, -87.689532013397)"
17-05217696,08/06/2017,Completed,08/07/2017,Brick - Unpainted,Garage,1442 N ARTESIAN AVE,60622,1,14,24,41.9079340498554,-87.68853459413559,"(41.907934049855, -87.688534594136)"
17-05245636,08/07/2017,Completed,08/07/2017,Brick - Painted,Front,3844 S WOLCOTT AVE,60609,12,9,59,41.8236344785909,-87.67280549043079,"(41.823634478591, -87.672805490431)"
17-05227131,08/06/2017,Completed,08/07/2017,Brick - Unpainted,Side,2201 S HALSTED ST,60608,11,12,31,41.8524987566311,-87.6463446657548,"(41.852498756631, -87.646344665755)"
17-05210849,08/06/2017,Completed,08/07/2017,Metal - Painted,Alley,3718 W 58TH PL,60629,23,8,62,41.787057792673394,-87.7164438782315,"(41.787057792673, -87.716443878231)"
17-05245920,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,8415 S PULASKI RD,60652,18,8,70,41.73986052204751,-87.72145630261178,"(41.739860522047, -87.721456302612)"
17-05217904,08/06/2017,Completed,08/07/2017,Aluminum Siding,Garage,6017 S KOLMAR AVE,60629,13,8,65,41.783431615265606,-87.73619272855179,"(41.783431615266, -87.736192728552)"
17-05173384,08/04/2017,Completed,08/07/2017,Brick - Unpainted,Rear,5438 N KENMORE AVE,60640,48,20,77,41.98119440423471,-87.6566947004475,"(41.981194404235, -87.656694700448)"
17-05246000,08/07/2017,Completed,08/07/2017,Metal - Painted,Front,5131 S KEDZIE AVE,60632,14,9,63,41.799880794118295,-87.703593526548,"(41.799880794118, -87.703593526548)"
17-05215108,08/06/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,1018 W LILL AVE,60614,43,19,7,41.9281973422151,-87.6545036921296,"(41.928197342215, -87.65450369213)"
17-05250082,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,2347 W CERMAK RD,60608,25,10,31,41.8519238297055,-87.6851227669784,"(41.851923829706, -87.685122766978)"
17-05187612,08/04/2017,Completed,08/07/2017,Metal - Painted,Pole,3628 W SHAKESPEARE AVE,60647,35,25,22,41.9201258301202,-87.71796909479879,"(41.92012583012, -87.717969094799)"
17-05246421,08/07/2017,Completed,08/07/2017,Glass,Front,4719 S KEDZIE AVE,60632,14,9,58,41.8075777792865,-87.70381512945342,"(41.807577779286, -87.703815129453)"
17-05249986,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,6201 S CAMPBELL AVE,60629,16,8,66,41.7809618750889,-87.6859886759872,"(41.780961875089, -87.685988675987)"
17-05193598,08/05/2017,Completed,08/07/2017,Metal - Painted,Front,5236 N SPAULDING AVE,60625,39,17,13,41.9768349046986,-87.71128614193441,"(41.976834904699, -87.711286141934)"
17-05246434,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,4715 S KEDZIE AVE,60632,14,9,58,41.8076815937348,-87.70381629298781,"(41.807681593735, -87.703816292988)"
17-05204033,08/05/2017,Completed,08/07/2017,Other / Unknown Surface,Pole,5700 S NEWCASTLE AVE,60638,13,8,56,41.7884053055012,-87.79280206310759,"(41.788405305501, -87.792802063108)"
17-05251264,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Rear,5109 S PULASKI RD,60632,23,8,62,41.800091534442295,-87.7232136115328,"(41.800091534442, -87.723213611533)"
17-05208933,08/05/2017,Completed,08/07/2017,Brick - Painted,Rear,1706 W 51ST ST,60609,20,9,61,41.8014024436733,-87.6675476447201,"(41.801402443673, -87.66754764472)"
17-05250007,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,6207 S CAMPBELL AVE,60629,16,8,66,41.7807906316146,-87.6859844319076,"(41.780790631615, -87.685984431908)"
17-05231688,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,461 N COLUMBUS DR,60611,42,18,8,41.8903911433242,-87.62012665990721,"(41.890391143324, -87.620126659907)"
17-05174321,08/04/2017,Completed,08/07/2017,Metal - Painted,Front,500 W CERMAK RD,60616,25,12,31,41.8528716877391,-87.64056365490391,"(41.852871687739, -87.640563654904)"
17-05246408,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Front,4723 S KEDZIE AVE,60632,14,9,58,41.8074720652695,-87.70381153663321,"(41.80747206527, -87.703811536633)"
17-05178099,08/04/2017,Completed,08/07/2017,Brick - Painted,Front,941 N CALIFORNIA AVE,60622,26,12,24,41.8987085579391,-87.6966305020266,"(41.898708557939, -87.696630502027)"
17-05199907,08/05/2017,Completed,08/07/2017,Wood - Unpainted,Rear,1758 W 21ST ST,60608,25,12,31,41.8541873893166,-87.67087463707001,"(41.854187389317, -87.67087463707)"
17-05213122,08/06/2017,Completed,08/07/2017,Aluminum Siding,Garage,4506 W 61ST ST,60629,13,8,65,41.782267819828604,-87.7354162781911,"(41.782267819829, -87.735416278191)"
17-05221626,08/06/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,4608 W FLOURNOY ST,60644,24,11,25,41.872442215241705,-87.74081440651109,"(41.872442215242, -87.740814406511)"
17-05246879,08/07/2017,Completed,08/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1514 W KINZIE ST,60642,27,12,24,41.88896215976769,-87.66610178566351,"(41.888962159768, -87.666101785664)"
17-05175450,08/04/2017,Completed,08/07/2017,Metal - Painted,Front,2401 W CHICAGO AVE,60622,26,12,24,41.8956315573183,-87.6869627210676,"(41.895631557318, -87.686962721068)"
17-05164230,08/04/2017,Completed,08/07/2017,Brick - Painted,Alley,4419 W 63RD ST,60629,23,8,65,41.778423555234795,-87.73340749508979,"(41.778423555235, -87.73340749509)"
17-05179977,08/04/2017,Completed,08/07/2017,Metal - Unpainted,Side,1753 N RICHMOND ST,60647,1,14,24,41.9138871832181,-87.7002033866255,"(41.913887183218, -87.700203386625)"
17-05163917,08/04/2017,Completed,08/07/2017,Metal - Painted,Dumpster,4256 W 63RD ST,60629,23,8,65,41.7786823163099,-87.72993251929441,"(41.77868231631, -87.729932519294)"
17-05246915,08/07/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,450 N ASHLAND AVE,60622,1,12,24,41.890255873022596,-87.6672695691617,"(41.890255873023, -87.667269569162)"
17-05199909,08/05/2017,Completed,08/07/2017,Stucco,Side,3346 W FOSTER AVE,60625,39,17,13,41.9758085086524,-87.71302647581258,"(41.975808508652, -87.713026475813)"
17-05246906,08/07/2017,Completed,08/07/2017,Metal - Painted,Traffic Control Box,470 N PAULINA ST,60622,27,12,24,41.8909214118422,-87.66972405462059,"(41.890921411842, -87.669724054621)"
17-05245929,08/07/2017,Completed,08/07/2017,Brick - Unpainted,Pole,818 W 18TH ST,60608,11,12,31,41.858186836559895,-87.647488645871,"(41.85818683656, -87.647488645871)"
