Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/07/2017,Completed,08/07/2017,17-05251065,Graffiti Removal,Metal - Painted,Door,7125 S MAPLEWOOD AVE,60629,1160606.3195708,1857319.79946719,18,8,66,14,41.76386983154280,-87.68674560999160,"(41.763869831543, -87.686745609992)"
08/05/2017,Completed,08/07/2017,17-05196842,Graffiti Removal,Wood - Painted,Front,4409 N ARTESIAN AVE,60625,1159245.97991312,1929206.66469635,47,19,4,21,41.96162484771540,-87.68976961706610,"(41.961624847715, -87.689769617066)"
08/07/2017,Completed,08/07/2017,17-05248568,Graffiti Removal,Metal - Painted,Dumpster,1557 W 13TH ST,60608,1166057.81087376,1894135.42000548,28,12,28,,41.86497176596720,-87.66623577475540,"(41.864971765967, -87.666235774755)"
08/07/2017,Completed,08/07/2017,17-05246644,Graffiti Removal,Metal - Painted,Dumpster,3510 N KEDZIE AVE,60618,1154428.449525,1923227.687975,35,17,21,,41.94515063717330,-87.70793142018660,"(41.945150637173, -87.707931420187)"
08/05/2017,Completed - Dup,08/07/2017,17-05201961,Graffiti Removal,Other/Unknown Surface,Garbage Cart,2301 W SUNNYSIDE AVE,60625,1160210.11016623,1929833.54508122,47,19,4,21,41.96306063501600,-87.68636754917810,"(41.963060635016, -87.686367549178)"
08/05/2017,Completed,08/07/2017,17-05194517,Graffiti Removal,Aluminum Siding,Alley,2520 N KILBOURN AVE,60639,1145958.36982059,1916551.22010653,31,25,20,,41.92705533134070,-87.73923689278470,"(41.927055331341, -87.739236892785)"
08/05/2017,Completed,08/07/2017,17-05197380,Graffiti Removal,Metal - Painted,Door,2306 W MOFFAT ST,60647,1160680.44779372,1912316.97737679,32,14,22,33,41.91512917985400,-87.68526200202440,"(41.915129179854, -87.685262002024)"
08/05/2017,Completed,08/07/2017,17-05203102,Graffiti Removal,Other/Unknown Surface,Alley,6841 W 57TH ST,60638,1131653.63100375,1865982.0165813,13,8,56,,41.78838364548610,-87.79305432924630,"(41.788383645486, -87.793054329246)"
08/07/2017,Completed,08/07/2017,17-05249942,Graffiti Removal,Brick - Unpainted,Side,5103 S CICERO AVE,60632,1145222.56478353,1870370.20420231,14,8,56,,41.80018308981580,-87.74280941209150,"(41.800183089816, -87.742809412091)"
08/07/2017,Completed,08/07/2017,17-05245737,Graffiti Removal,Metal - Painted,Garage,3637 S DAMEN AVE,60609,1163616.43658405,1880558.68722658,12,9,59,,41.82745823204980,-87.6750569817486,"(41.82745823205, -87.675056981749)"
08/07/2017,Completed,08/07/2017,17-05246542,Graffiti Removal,Glass,Front,3043 W CORTLAND ST,60647,1155547.63950118,1912462.78827917,1,14,22,,41.9154912632924,-87.7040470253293,"(41.915491263292, -87.704047025329)"
08/07/2017,Completed,08/07/2017,17-05246712,Graffiti Removal,Metal - Painted,Side,3432 W DIVERSEY AVE,60647,1153027.5422164,1918409.79879857,35,14,21,,41.93206656244430,-87.71350554424400,"(41.932066562444, -87.713505544244)"
08/04/2017,Completed,08/07/2017,17-05179285,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Bench,1760 N TALMAN AVE,60647,1158420.83777293,1911835.28536811,1,14,24,,41.91375726435640,-87.69356772905560,"(41.913757264356, -87.693567729056)"
08/07/2017,Completed,08/07/2017,17-05250612,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2504 W CERMAK RD,60608,1160070.81059728,1889322.38353334,28,10,30,,41.85211819715290,-87.68816860287310,"(41.852118197153, -87.688168602873)"
08/06/2017,Completed,08/07/2017,17-05213726,Graffiti Removal,Metal - Painted,Front,2774 N MILWAUKEE AVE,60647,1153460.0422164,1918252.69879857,35,14,22,,41.93152747821050,-87.7116712244413,"(41.931527478211, -87.711671224441)"
08/07/2017,Completed,08/07/2017,17-05245518,Graffiti Removal,Brick - Painted,Garage,3604 W 62ND PL,60629,1153364.97189462,1862930.84012791,23,8,65,,41.77982849557780,-87.7134562345124,"(41.779828495578, -87.713456234512)"
08/06/2017,Completed,08/07/2017,17-05210417,Graffiti Removal,Metal - Painted,Mail Box,5454 S KILDARE AVE,60632,1148625.31100789,1868090.44789425,23,8,62,,41.793340332814800,-87.73066592618200,"(41.793340332815, -87.730665926182)"
08/03/2017,Completed,08/07/2017,17-05143745,Graffiti Removal,Brick - Painted,Side,3474 S ARCHER AVE,60608,1163118.36847074,1881614.04072268,12,9,59,,41.83079469817100,-87.67723257138650,"(41.830794698171, -87.677232571387)"
08/06/2017,Completed,08/07/2017,17-05215064,Graffiti Removal,Glass,Door,3109 W ARMITAGE AVE,60647,1155141.07987465,1913120.96327222,1,14,22,,41.91729928398140,-87.70570366678610,"(41.917299283981, -87.705703666786)"
08/05/2017,Completed - Dup,08/07/2017,17-05201959,Graffiti Removal,Metal - Painted,Fence,2303 W SUNNYSIDE AVE,60625,1160188.11016623,1929832.94508122,47,19,4,21,41.963059519219800,-87.68645159547680,"(41.96305951922, -87.686451595477)"
08/07/2017,Completed,08/07/2017,17-05248859,Graffiti Removal,Brick - Unpainted,Front,825 E 63RD ST,60637,1182928.32998233,1863418.91063098,20,3,42,,41.78031641584810,-87.60479812598480,"(41.780316415848, -87.604798125985)"
08/07/2017,Completed,08/07/2017,17-05243933,Graffiti Removal,Metal - Painted,Pole,832 W MADISON ST,60607,1170732.7413235,1900247.99002715,27,12,28,,41.881870366493700,-87.64859313903670,"(41.881870366494, -87.648593139037)"
08/07/2017,Completed,08/07/2017,17-05246282,Graffiti Removal,Brick - Painted,Side,3725 W 49TH ST,60632,1152268.93990945,1871878.25409083,14,8,57,39,41.80418435014160,-87.71719818725200,"(41.804184350142, -87.717198187252)"
08/05/2017,Completed - Dup,08/07/2017,17-05200786,Graffiti Removal,Metal - Painted,Fence,2303 W SUNNYSIDE AVE,60625,1160188.11016623,1929832.94508122,47,19,4,21,41.963059519219800,-87.68645159547680,"(41.96305951922, -87.686451595477)"
08/06/2017,Completed,08/07/2017,17-05215385,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,2628 N MILWAUKEE AVE,60647,1154369.50806796,1917528.97762631,35,14,22,,41.929460754541400,-87.70827491636380,"(41.929460754541, -87.708274916364)"
08/07/2017,Completed,08/07/2017,17-05246324,Graffiti Removal,Brick - Painted,Side,3729 W 49TH ST,60632,1152194.83990945,1871876.35409083,14,8,57,39,41.80418179767890,-87.71740698626430,"(41.804181797679, -87.717406986264)"
08/04/2017,Completed,08/07/2017,17-05177463,Graffiti Removal,Brick - Unpainted,Alley,5915 S FRANCISCO AVE,60629,1158057.65547578,1865286.20501706,16,8,66,59,41.785882169032400,-87.69587204951220,"(41.785882169032, -87.695872049512)"
08/04/2017,Completed,08/07/2017,17-05174534,Graffiti Removal,Brick - Unpainted,Front,1935 W BELMONT AVE,60657,1162876.4607904,1921260.98460119,32,19,5,,41.93947372356580,-87.67732856272220,"(41.939473723566, -87.677328562722)"
08/07/2017,Completed,08/07/2017,17-05250584,Graffiti Removal,Metal - Painted,Pole,4750 S WESTERN AVE,60609,1161172.37989449,1873031.91002805,15,9,58,,41.80691014681530,-87.68452688789830,"(41.806910146815, -87.684526887898)"
08/07/2017,Completed,08/07/2017,17-05246631,Graffiti Removal,Metal - Painted,Front,3244 N MILWAUKEE AVE,60618,1149656.58171304,1921321.12210216,30,17,21,,41.939987581504500,-87.72554693638810,"(41.939987581505, -87.725546936388)"
08/07/2017,Completed,08/07/2017,17-05245618,Graffiti Removal,Brick - Painted,Garage,3640 S SEELEY AVE,60609,1163284.74948706,1880531.06563099,12,9,59,,41.82732805659630,-87.67656606977670,"(41.827328056596, -87.676566069777)"
08/04/2017,Completed,08/07/2017,17-05170852,Graffiti Removal,Brick - Painted,Front,2940 W 59TH ST,60629,1157682.39693383,1865376.00887054,16,8,63,59,41.78645099104770,-87.69765498005620,"(41.786450991048, -87.697654980056)"
08/06/2017,Completed,08/07/2017,17-05216690,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1605 W BLACKHAWK ST,60622,1165414.0427817,1909406.16846825,1,14,24,33,41.9069145749543,-87.66780323423660,"(41.906914574954, -87.667803234237)"
08/06/2017,Completed,08/07/2017,17-05224992,Graffiti Removal,Aluminum Siding,Garage,2414 N LINDER AVE,60639,1139311.45987071,1915508.91339017,30,25,19,,41.92449617755470,-87.76369241528570,"(41.924496177555, -87.763692415286)"
08/04/2017,Completed,08/07/2017,17-05164026,Graffiti Removal,Metal - Painted,Dumpster,4207 W 63RD ST,60629,1149378.60158968,1862492.19997459,23,8,65,3,41.77848502867060,-87.72797747194890,"(41.778485028671, -87.727977471949)"
08/06/2017,Completed,08/07/2017,17-05226192,Graffiti Removal,Brick - Painted,Rear,1146 W 18TH ST,60608,1169024.68012663,1891566.59676971,25,12,31,,41.858083084687800,-87.6552459898508,"(41.858083084688, -87.655245989851)"
08/07/2017,Completed,08/07/2017,17-05245548,Graffiti Removal,Metal - Painted,Front,2523 S SPAULDING AVE,60623,1154765.33969634,1887047.84497402,12,10,30,25,41.84558832356190,-87.70736040009480,"(41.845588323562, -87.707360400095)"
08/07/2017,Completed,08/07/2017,17-05246856,Graffiti Removal,Brick - Unpainted,Rear,4224 W BELMONT AVE,60641,1147586.01007927,1920939.26802112,30,17,16,,41.939124071598600,-87.73312423624460,"(41.939124071599, -87.733124236245)"
08/04/2017,Completed,08/07/2017,17-05181119,Graffiti Removal,Metal - Painted,Alley,4541 N LEAVITT ST,60625,1160869.73368463,1930232.7100766,47,19,4,,41.96441936893490,-87.68377118613570,"(41.964419368935, -87.683771186136)"
08/06/2017,Completed,08/07/2017,17-05220853,Graffiti Removal,Wood - Unpainted,Bench,1801 N RIDGEWAY AVE,60647,1151091.24002812,1911786.65001489,26,25,22,,41.91389836290290,-87.72020627981690,"(41.913898362903, -87.720206279817)"
08/05/2017,Completed - Dup,08/07/2017,17-05192296,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,451 W 25TH PL,60616,1173504.27907041,1887258.3101686,11,9,60,,41.84600084406570,-87.63894070296290,"(41.846000844066, -87.638940702963)"
08/04/2017,Completed,08/07/2017,17-05173394,Graffiti Removal,Wood - Painted,Garage,2518 N KILBOURN AVE,60639,1145959.16982059,1916526.42010653,31,25,20,,41.926986872525100,-87.73923456252610,"(41.926986872525, -87.739234562526)"
08/04/2017,Completed,08/07/2017,17-05182449,Graffiti Removal,Brick - Unpainted,Side,2906 W BERTEAU AVE,60618,1156227.20697358,1927768.17068391,33,17,16,,41.95769409124210,-87.70113397577220,"(41.957694091242, -87.701133975772)"
08/06/2017,Completed,08/07/2017,17-05213474,Graffiti Removal,Glass,Front,2765 N MILWAUKEE AVE,60647,1153536.44453054,1918193.71432765,35,14,22,,41.931503113422000,-87.71117001475620,"(41.931503113422, -87.711170014756)"
08/06/2017,Completed,08/07/2017,17-05216025,Graffiti Removal,Metal - Painted,Pole,2682 N HALSTED ST,60614,1170473.20551386,1918235.18986679,43,19,7,,41.931319611004100,-87.64911079251430,"(41.931319611004, -87.649110792514)"
08/05/2017,Completed,08/07/2017,17-05193991,Graffiti Removal,Other/Unknown Surface,Fence,432 E ILLINOIS ST,60611,1179328.21819253,1903708.84248357,42,18,8,,41.89118456248690,-87.61638896561310,"(41.891184562487, -87.616388965613)"
08/07/2017,Completed,08/07/2017,17-05245551,Graffiti Removal,Metal - Painted,Garage,5759 S FAIRFIELD AVE,60629,1159025.32681011,1866347.8824255,16,8,63,,41.788341441268100,-87.69228410857490,"(41.788341441268, -87.692284108575)"
08/04/2017,Completed,08/07/2017,17-05178177,Graffiti Removal,Metal - Painted,Pole,323 E WACKER DR,60601,1178575.63527485,1902538.12051375,42,1,32,,41.887556040948600,-87.61965509328480,"(41.887556040949, -87.619655093285)"
08/05/2017,Completed,08/07/2017,17-05209110,Graffiti Removal,Metal - Painted,Alley,3019 S KEELER AVE,60623,1148862.29302671,1884251.00967817,22,10,30,,41.83806444920340,-87.72909864761540,"(41.838064449203, -87.729098647615)"
08/07/2017,Completed,08/07/2017,17-05245590,Graffiti Removal,Wood - Painted,Bench,2600 W THOMAS ST,60622,1158867.49661978,1907222.05851017,1,12,24,,41.90125935952570,-87.69203326341110,"(41.901259359526, -87.692033263411)"
08/05/2017,Completed - Dup,08/07/2017,17-05201178,Graffiti Removal,Other/Unknown Surface,Garbage Cart,2301 W SUNNYSIDE AVE,60625,1160210.11016623,1929833.54508122,47,19,4,21,41.96306063501600,-87.68636754917810,"(41.963060635016, -87.686367549178)"
08/05/2017,Completed,08/07/2017,17-05192297,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Fence,446 W 25TH PL,60616,1173539.67907041,1887248.5101686,11,9,60,,41.84617747302240,-87.63871767589310,"(41.846177473022, -87.638717675893)"
08/06/2017,Completed,08/07/2017,17-05218277,Graffiti Removal,Aluminum Siding,Rear,1143 W 17TH ST,60608,1169110.0108752,1891897.7500231,25,12,31,,41.85876923380090,-87.65507291055500,"(41.858769233801, -87.655072910555)"
08/04/2017,Completed,08/07/2017,17-05173255,Graffiti Removal,Brick - Painted,Side,2415 N ASHLAND AVE,60614,1165263.31793291,1916176.71490962,32,19,7,,41.92563809974710,-87.66801562444300,"(41.925638099747, -87.668015624443)"
08/06/2017,Completed,08/07/2017,17-05215359,Graffiti Removal,Metal - Unpainted,Sign,2511 N SEMINARY AVE,60614,1168538.57318808,1916888.90632482,43,19,7,,41.9275135618901,-87.65595908640260,"(41.92751356189, -87.655959086403)"
08/04/2017,Completed,08/07/2017,17-05182448,Graffiti Removal,Metal - Unpainted,Bench,909 S MICHIGAN AVE,60605,1177408.78079445,1896210.1081961,4,1,32,,41.87031647157520,-87.62398569151720,"(41.870316471575, -87.623985691517)"
08/05/2017,Completed,08/07/2017,17-05204359,Graffiti Removal,Brick - Unpainted,Side,4202 W 47TH ST,60632,1149131.79169787,1873135.79146639,14,8,57,,41.80791624596840,-87.7286246516587,"(41.807916245968, -87.728624651659)"
08/07/2017,Completed,08/07/2017,17-05246797,Graffiti Removal,Metal - Painted,Traffic Control Box,1 N ASHLAND AVE,60607,1165757.82836648,1900097.17378378,27,12,28,,41.88150455564230,-87.66665756053530,"(41.881504555642, -87.666657560535)"
08/05/2017,Completed,08/07/2017,17-05198430,Graffiti Removal,Brick - Unpainted,Alley,2809 N KILBOURN AVE,60641,1145900.73912339,1918296.20698236,31,25,20,,41.93195009958840,-87.73911343262540,"(41.931950099588, -87.739113432625)"
08/07/2017,Completed,08/07/2017,17-05250567,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1901 S WESTERN AVE,60608,1160672.44090471,1890672.59142196,25,12,31,,41.85566532356030,-87.68558982950280,"(41.85566532356, -87.685589829503)"
08/07/2017,Completed,08/07/2017,17-05246689,Graffiti Removal,Wood - Unpainted,Pole,221 N LEAVITT ST,60612,1161706.23268999,1901500.11637087,27,12,28,,41.885532859560100,-87.68149876030740,"(41.88553285956, -87.681498760307)"
08/05/2017,Completed - Dup,08/07/2017,17-05194356,Graffiti Removal,Other/Unknown Surface,Fence,432 E ILLINOIS ST,60611,1179328.21819253,1903708.84248357,42,18,8,,41.89118456248690,-87.61638896561310,"(41.891184562487, -87.616388965613)"
08/05/2017,Completed - Dup,08/07/2017,17-05201179,Graffiti Removal,Metal - Painted,Fence,2303 W SUNNYSIDE AVE,60625,1160188.11016623,1929832.94508122,47,19,4,21,41.963059519219800,-87.68645159547680,"(41.96305951922, -87.686451595477)"
08/06/2017,Completed,08/07/2017,17-05222007,Graffiti Removal,Brick - Unpainted,Front,610 W 24TH PL,60616,1172575.39228498,1888000.4793951,11,9,60,,41.84822305216320,-87.64211919409570,"(41.848223052163, -87.642119194096)"
08/07/2017,Completed - Dup,08/07/2017,17-05250399,Graffiti Removal,Glass,Front,2910 N ALLEN AVE,60618,1152456.21368797,1919159.68482915,35,14,21,,41.93424054234390,-87.71511504202700,"(41.934240542344, -87.715115042027)"
08/07/2017,Completed,08/07/2017,17-05246810,Graffiti Removal,Metal - Painted,Sign,5800 W WRIGHTWOOD AVE,60639,1137278.49878116,1916693.49263043,30,25,19,,41.92766564443840,-87.77104404625260,"(41.927665644438, -87.771044046253)"
08/07/2017,Completed,08/07/2017,17-05245849,Graffiti Removal,Brick - Painted,Pole,4710 W 79TH ST,60652,1146342.50011847,1851754.01557811,18,8,70,,41.749294139082600,-87.73935791298620,"(41.749294139083, -87.739357912986)"
08/06/2017,Completed,08/07/2017,17-05229377,Graffiti Removal,Metal - Painted,Dumpster,2851 N WOODARD ST,60618,1153359.85770399,1918840.96378396,35,14,21,,41.933432945137400,-87.71135107392180,"(41.933432945137, -87.711351073922)"
08/04/2017,Completed,08/07/2017,17-05178962,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Bench,2459 W BLOOMINGDALE AVE,60647,1159610.48012311,1911902.09579246,1,14,24,,41.91386266124510,-87.68969490726870,"(41.913862661245, -87.689694907269)"
08/07/2017,Completed,08/07/2017,17-05248548,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1300 S ASHLAND AVE,60608,1165929.76902548,1894131.0933784,28,12,28,,41.865033321293300,-87.66648749335590,"(41.865033321293, -87.666487493356)"
08/06/2017,Completed,08/07/2017,17-05213666,Graffiti Removal,Glass,Door,2644 N MILWAUKEE AVE,60647,1154278.00806796,1917602.67762631,35,14,22,,41.929781140890900,-87.70880515294680,"(41.929781140891, -87.708805152947)"
08/07/2017,Completed - Dup,08/07/2017,17-05245557,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Overpass,345 E WACKER DR,60601,1178860.07131354,1902516.75799593,42,1,32,,41.88749493117700,-87.6186727094764,"(41.887494931177, -87.618672709476)"
08/06/2017,Completed,08/07/2017,17-05235115,Graffiti Removal,Metal - Painted,Pole,2301 W ADAMS ST,60612,1161102.69292452,1899029.46841099,27,12,28,,41.87851229254380,-87.68402107371100,"(41.878512292544, -87.684021073711)"
08/04/2017,Completed,08/07/2017,17-05174228,Graffiti Removal,Wood - Painted,Front,1611 W 18TH ST,60608,1165843.87001731,1891471.2002796,25,12,31,,41.85767318187970,-87.66669927030200,"(41.85767318188, -87.666699270302)"
08/07/2017,Completed,08/07/2017,17-05246372,Graffiti Removal,Brick - Unpainted,Front,4101 W 51ST ST,60632,1149882.60991446,1870484.32456676,23,8,57,,41.80040759777280,-87.72588554763770,"(41.800407597773, -87.725885547638)"
08/06/2017,Completed,08/07/2017,17-05210368,Graffiti Removal,Metal - Painted,Traffic Control Box,5320 S PULASKI RD,60632,1150604.88809149,1869019.66999021,23,8,62,,41.796197591415500,-87.72339188344550,"(41.796197591416, -87.723391883445)"
08/05/2017,Completed,08/07/2017,17-05193992,Graffiti Removal,Metal - Painted,Mail Box,503 N MCCLURG CT,60611,1179107.81819253,1903731.54248357,42,18,8,,41.89116498625570,-87.61752560027900,"(41.891164986256, -87.617525600279)"
08/07/2017,Completed,08/07/2017,17-05250966,Graffiti Removal,Metal - Painted,Rear,3510 W 79TH ST,60652,1154329.7000137,1851968.67079265,18,8,70,,41.749860105596900,-87.7101866507587,"(41.749860105597, -87.710186650759)"
08/07/2017,Completed,08/07/2017,17-05249074,Graffiti Removal,Metal - Unpainted,Traffic Control Box,822 E 53RD ST,60615,1182729.87010182,1870050.96530558,5,2,41,,41.798739926039000,-87.60535794755130,"(41.798739926039, -87.605357947551)"
08/07/2017,Completed,08/07/2017,17-05246531,Graffiti Removal,Brick - Unpainted,Front,2423 N MILWAUKEE AVE,60647,1156281.3233314,1915983.85400657,1,14,22,,41.92531256763230,-87.7010463539838,"(41.925312567632, -87.701046353984)"
08/04/2017,Completed,08/07/2017,17-05164006,Graffiti Removal,Brick - Painted,Alley,4437 W 63RD ST,60629,1147765.10731951,1862456.42961232,13,8,65,3,41.77841693792210,-87.73397279071150,"(41.778416937922, -87.733972790711)"
08/07/2017,Completed,08/07/2017,17-05250655,Graffiti Removal,Glass,Front,2748 W CERMAK RD,60608,1158290.37021293,1889274.75622128,12,10,30,,41.85201835224980,-87.6949589532694,"(41.85201835225, -87.694958953269)"
08/04/2017,Completed,08/07/2017,17-05170851,Graffiti Removal,Tree,Front,5619 S SACRAMENTO AVE,60629,1157336.42900417,1867228.53548536,16,8,63,,41.79118757971280,-87.69846450143320,"(41.791187579713, -87.698464501433)"
08/07/2017,Completed,08/07/2017,17-05246782,Graffiti Removal,Metal - Painted,Door,2837 N NARRAGANSETT AVE,60634,1133259.80640794,1918171.98140683,36,25,19,,41.932118199100000,-87.78558029024280,"(41.9321181991, -87.785580290243)"
08/06/2017,Completed,08/07/2017,17-05210347,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,5206 S KEELER AVE,60632,1149248.92978969,1869695.82701973,23,8,57,,41.798327111271300,-87.72835516583160,"(41.798327111271, -87.728355165832)"
08/07/2017,Completed,08/07/2017,17-05246514,Graffiti Removal,Metal - Unpainted,Front,1456 N MILWAUKEE AVE,60622,1163708.96126805,1909825.13160469,1,14,24,33,41.908270041659100,-87.67439867973680,"(41.908270041659, -87.674398679737)"
08/07/2017,Completed,08/07/2017,17-05250630,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,3925 W 31ST ST,60623,1150598.56020478,1883750.19011262,22,10,30,,41.83679422223080,-87.72306540627230,"(41.836794222231, -87.723065406272)"
08/04/2017,Completed,08/07/2017,17-05170491,Graffiti Removal,Metal - Painted,Rear,1359 W DEVON AVE,60660,1165807.21981873,1942619.22319717,48,24,77,26,41.99802825977900,-87.665343978848,"(41.998028259779, -87.665343978848)"
08/07/2017,Completed,08/07/2017,17-05250590,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Pole,2502 W CERMAK RD,60608,1160085.51059728,1889322.78353334,28,10,30,,41.85211832922980,-87.68808854644000,"(41.85211832923, -87.68808854644)"
08/07/2017,Completed,08/07/2017,17-05246571,Graffiti Removal,Metal - Painted,Pole,4800 N MILWAUKEE AVE,60630,1139963.92002791,1931404.66006571,45,16,11,,41.96784439852140,-87.76089754112510,"(41.967844398521, -87.760897541125)"
08/04/2017,Completed,08/07/2017,17-05179757,Graffiti Removal,Other / Unknown Surface,Garbage Cart,299 E WACKER DR,60601,1178301.64638254,1902519.03068981,42,1,32,,41.88772084746610,-87.62075091087030,"(41.887720847466, -87.62075091087)"
08/07/2017,Completed,08/07/2017,17-05242750,Graffiti Removal,Brick - Painted,Side,121 N LA SALLE ST,60602,1175113.30259427,1901023.04281984,42,1,32,,41.8837645981034,-87.63227535353650,"(41.883764598103, -87.632275353537)"
08/03/2017,Completed,08/07/2017,17-05158008,Graffiti Removal,Brick - Painted,Viaduct,3435 S HOYNE AVE,60608,1162916.37262346,1881787.03810451,12,9,59,,41.83111716228270,-87.67759560042620,"(41.831117162283, -87.677595600426)"
08/07/2017,Completed,08/07/2017,17-05245593,Graffiti Removal,Metal - Painted,Mail Box,2200 W 37TH ST,60609,1162298.390133,1880112.88672582,12,9,59,,41.826797317495400,-87.68024648164660,"(41.826797317495, -87.680246481647)"
08/07/2017,Completed,08/07/2017,17-05245629,Graffiti Removal,Metal - Painted,Garage,3700 S PAULINA ST,60609,1165623.16737254,1880187.11402041,12,9,59,,41.826775573205200,-87.66800941506310,"(41.826775573205, -87.668009415063)"
08/07/2017,Completed,08/07/2017,17-05251155,Graffiti Removal,Metal - Painted,Pole,4750 S WESTERN AVE,60609,1161172.37989449,1873031.91002805,15,9,58,,41.80691014681530,-87.68452688789830,"(41.806910146815, -87.684526887898)"
08/07/2017,Completed,08/07/2017,17-05245677,Graffiti Removal,Metal - Painted,Garage,3701 S HERMITAGE AVE,60609,1165290.42689993,1880171.87037492,12,9,59,,41.82671778937880,-87.6689363634852,"(41.826717789379, -87.668936363485)"
08/06/2017,Completed,08/07/2017,17-05213776,Graffiti Removal,Metal - Painted,Pole,315 E ILLINOIS ST,60611,1178622.26750826,1903685.41729864,42,18,8,,41.890907250123100,-87.61950084961130,"(41.890907250123, -87.619500849611)"
08/05/2017,Completed - Dup,08/07/2017,17-05201747,Graffiti Removal,Limestone,Express Way Job,481 N LAKE SHORE DR,60611,1180052.05771678,1903612.41249721,42,18,8,,41.890729492394700,-87.61403811956760,"(41.890729492395, -87.614038119568)"
08/05/2017,Completed - Dup,08/07/2017,17-05201744,Graffiti Removal,Other/Unknown Surface,Garbage Cart,2301 W SUNNYSIDE AVE,60625,1160210.11016623,1929833.54508122,47,19,4,21,41.96306063501600,-87.68636754917810,"(41.963060635016, -87.686367549178)"
08/07/2017,Completed,08/07/2017,17-05246858,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Alley,1520 W KINZIE ST,60642,1166014.45999628,1902796.28018574,27,12,24,,41.88895980389880,-87.66634403252780,"(41.888959803899, -87.666344032528)"
08/05/2017,Completed - Dup,08/07/2017,17-05197123,Graffiti Removal,Other/Unknown Surface,Front,2901 N BROADWAY,60657,1171744.87352192,1919758.73012166,44,19,6,8,41.93527996155770,-87.64409274536890,"(41.935279961558, -87.644092745369)"
08/07/2017,Completed,08/07/2017,17-05250452,Graffiti Removal,Metal - Painted,Pole,2659 W 22ND PL,60608,1158985.0294088,1888959.09599716,24,10,30,,41.85091278856920,-87.69284239345020,"(41.850912788569, -87.69284239345)"
08/07/2017,Completed,08/07/2017,17-05250280,Graffiti Removal,Brick - Unpainted,Sign,4956 S CAMPBELL AVE,60632,1160539.84647471,1871671.20831332,14,9,63,,41.80305921196600,-87.68688151692360,"(41.803059211966, -87.686881516924)"
08/06/2017,Completed,08/07/2017,17-05210423,Graffiti Removal,Metal - Painted,Traffic Control Box,5143 S CICERO AVE,60632,1145227.56478353,1870122.30420231,14,8,56,,41.79893473399420,-87.74279295883940,"(41.798934733994, -87.742792958839)"
08/07/2017,Completed,08/07/2017,17-05245680,Graffiti Removal,Metal - Painted,Traffic Control Box,549 N FRANKLIN ST,60654,1174229.4191061,1903929.81518399,42,18,8,,41.89225803313740,-87.63544646338950,"(41.892258033137, -87.63544646339)"
08/07/2017,Completed,08/07/2017,17-05250610,Graffiti Removal,Brick - Painted,Side,5109 S PULASKI RD,60632,1150565.69268741,1870362.24263217,23,8,62,,41.80009153444230,-87.72321361153280,"(41.800091534442, -87.723213611533)"
08/05/2017,Completed,08/07/2017,17-05192730,Graffiti Removal,Metal - Painted,Fence,241 E OHIO ST,60611,1178011.43702066,1904248.15816773,42,18,8,,41.89247639096590,-87.62105359933230,"(41.892476390966, -87.621053599332)"
08/07/2017,Completed,08/07/2017,17-05245809,Graffiti Removal,Metal - Painted,Garage,3604 S HOYNE AVE,60609,1162946.08030069,1880763.97592101,12,9,59,,41.828330042342900,-87.67781289763210,"(41.828330042343, -87.677812897632)"
08/03/2017,Completed,08/07/2017,17-05156746,Graffiti Removal,Brick - Painted,Side,2100 S KEDZIE AVE,60623,1155346.83269271,1889862.75548637,24,10,30,,41.85355968855660,-87.7054525939011,"(41.853559688557, -87.705452593901)"
08/04/2017,Completed,08/07/2017,17-05174407,Graffiti Removal,Brick - Unpainted,Side,1702 N WOLCOTT AVE,60622,1163419.49697121,1911357.43631332,32,14,24,,41.91248592011250,-87.67522238454670,"(41.912485920113, -87.675222384547)"
08/06/2017,Completed - Dup,08/07/2017,17-05232590,Graffiti Removal,Metal - Unpainted,Pole,1450 W SUNNYSIDE AVE,60640,1165554.90042662,1929974.71582825,47,19,3,31,41.963550227629300,-87.66709746439990,"(41.963550227629, -87.6670974644)"
