Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/31/2017,Completed,08/31/2017,17-05807114,Graffiti Removal,Metal - Painted,Dumpster,4154 N GREENVIEW AVE,60613,1165319.29838779,1927759.70001993,47,19,6,,41.957805235043300,-87.66778352629290,"(41.957805235043, -87.667783526293)"
08/31/2017,Completed,08/31/2017,17-05806406,Graffiti Removal,Metal - Painted,Door,1917 W NORTH AVE,60622,1163250.0599213,1910667.36409192,2,14,24,33,41.910403311643800,-87.67575648277200,"(41.910403311644, -87.675756482772)"
08/31/2017,Completed,08/31/2017,17-05806560,Graffiti Removal,Metal - Painted,Dumpster,1939 W DIVISION ST,60622,1163138.48002796,1908004.15997754,1,12,24,33,41.90309590205040,-87.67635030041880,"(41.90309590205, -87.676350300419)"
08/31/2017,Completed,08/31/2017,17-05804670,Graffiti Removal,Metal - Unpainted,Front,460 W GRAND AVE,60654,1172936.49952652,1903802.92631537,42,18,8,,41.891542179586300,-87.64093373124220,"(41.891542179586, -87.640933731242)"
04/04/2018,Completed,04/04/2018,18-01120699,Graffiti Removal,Metal - Painted,Fence,1424 N NOBLE ST,60642,1166793.04750685,1909490.68657414,2,14,24,,41.90765377276910,-87.6628935917884,"(41.907653772769, -87.662893591788)"
08/31/2017,Completed,08/31/2017,17-05805084,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,2113 S PULASKI RD,60623,1150038.77002587,1889638.27998832,24,10,29,,41.85299989860530,-87.7246445819539,"(41.852999898605, -87.724644581954)"
04/03/2018,Completed,04/04/2018,18-01112406,Graffiti Removal,Brick - Unpainted,Rear,957 N ASHLAND AVE,60622,1165551.37377944,1906545.31012784,1,12,24,29,41.899606263074600,-87.66724267848340,"(41.899606263075, -87.667242678483)"
08/30/2017,Completed,08/31/2017,17-05783716,Graffiti Removal,Brick - Unpainted,Side,1091 S PARK TER,60605,1175744.62190131,1895722.18938314,4,1,32,,41.86922077722740,-87.63014664938540,"(41.869220777227, -87.630146649385)"
08/31/2017,Completed,08/31/2017,17-05809334,Graffiti Removal,Metal - Painted,Front,1800 W 35TH ST,60609,1164922.08322414,1881502.05969031,12,9,59,,41.830555905796700,-87.67046120300680,"(41.830555905797, -87.670461203007)"
08/31/2017,Completed,08/31/2017,17-05811830,Graffiti Removal,Brick - Unpainted,Pole,1500 W 19TH ST,60608,1166671.08891933,1890835.56860452,25,12,31,,41.856129865099800,-87.66383570985360,"(41.8561298651, -87.663835709854)"
